,F06,F07,F08,F09,F11,F14,F18,F19,F21,F22,G01,G02,G03,G05,G07,G09,G10,L02,L03,L04,L06,L07,L08,L11,L13,L14,L15,L16,L17,L18,L20,L21,L22,L23,M02,M03,M04,M07,M08,M09,R03,R04,R05,R06,R08,R10,Kingdom,Phylum,Class,Order,Family,Genus,Species
Zotu868,0,0,3,0,2,8,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Enterobacterales(99.99999999999999),Enterobacteriaceae(99.99999999999999),Yersinia(62.80209342062784),Serratia proteamaculans_C(6.873325509101366)
Zotu962,0,0,3,0,2,16,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Enterobacterales(99.99999999999999),Enterobacteriaceae(99.99999999999999),Yersinia(63.21437851739575),Serratia proteamaculans_C(6.936380398018328)
Zotu881,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Enterobacterales(99.99999999999999),Enterobacteriaceae(99.99999999999999),Yersinia(63.73091799643523),Serratia proteamaculans_C(7.000945925083856)
Zotu1294,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Moraxellaceae(99.99999999999999),Acinetobacter(99.99999999999999),Acinetobacter idrijaensis(41.579761904761895)
Zotu1206,3,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Moraxellaceae(99.99999999999999),Acinetobacter(99.99999999999999),Acinetobacter johnsonii(39.32873603005182)
Zotu598,0,3,3,0,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,2,1,2,10,0,4,0,0,3,0,2,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Moraxellaceae(99.99999999999999),Acinetobacter(99.99999999999999),Acinetobacter sp000632455(16.81759768009767)
Zotu744,5,5,0,4,0,3,0,2,4,0,0,0,0,0,0,0,0,0,0,5,2,0,0,1,0,0,0,4,0,3,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Moraxellaceae(99.99999999999999),Acinetobacter(99.99999999999999),Acinetobacter sp000632455(17.03956043956044)
Zotu545,0,5,5,4,0,5,0,4,9,0,0,0,0,0,0,0,0,0,0,8,4,2,13,4,4,0,3,7,0,3,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Moraxellaceae(99.99999999999999),Acinetobacter(99.99999999999999),Acinetobacter sp000632455(17.108547008547)
Zotu611,8,1,0,0,5,1,0,4,1,0,0,0,0,0,0,0,0,0,0,8,5,0,0,3,1,0,0,4,0,0,0,0,1,3,0,0,0,0,2,3,7,0,2,1,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Moraxellaceae(99.99999999999999),Acinetobacter(99.99999999999999),Acinetobacter sp000632455(17.149023199023198)
Zotu797,3,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,4,2,2,4,2,0,0,1,0,0,0,2,0,2,0,0,0,0,2,3,1,0,2,6,1,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Moraxellaceae(99.99999999999999),Acinetobacter(99.99999999999999),Acinetobacter sp000632455(17.17598901098899)
